user_id,first_name,last_name,email,age,income_bracket,customer_tier,risk_profile,city,state,country,registration_date,preferred_categories,is_active,source_system
d4dded0c-deaf-4a13-af01-02df5da03d4d,Cindy,Aguilar,ecoleman@example.org,62,very_high,platinum,conservative,West Tracyville,IN,USA,2025-06-02T15:46:28,"technology,groceries,health,entertainment",true,third_party_registration
fba29eb1-2d28-427a-b67b-a3324a974951,Richard,Hill,allenkelsey@example.org,65,high,silver,moderate,Danielville,WV,USA,2025-06-10T14:32:17,"entertainment,groceries",true,third_party_registration
49f46cef-28a7-4e88-b12e-7eea49c10033,Patricia,Walls,katherinesullivan@example.com,57,very_high,gold,conservative,Tonytown,IA,USA,2025-06-28T09:08:33,"travel,groceries,health",true,third_party_registration
d5369818-57fd-46c1-8b6b-e406abd1e5e6,James,Monroe,hansenbrian@example.net,37,medium,silver,conservative,Sarahbury,GU,USA,2025-06-28T16:03:08,"groceries,health,fashion,education",true,third_party_registration
7003879f-7436-40bc-9467-aded21c67ba5,Kelly,Valenzuela,sarachapman@example.net,18,low,bronze,aggressive,Garciaview,MO,USA,2025-06-04T09:40:27,"groceries,technology",true,third_party_registration
8371e25c-423b-41ae-81b2-ffca03f0992d,Charles,Silva,derekcarter@example.com,51,very_high,gold,conservative,East Michaelport,FM,USA,2025-06-25T17:05:36,"health,education,travel,technology",true,third_party_registration
4cb54c90-24d8-40ec-98d4-128ce3cd3634,Tanya,Beck,tmccall@example.net,54,very_high,platinum,conservative,Stevenburgh,ME,USA,2025-06-23T16:47:55,"travel,entertainment,health,education",true,third_party_registration
5ae9b47f-974c-4caf-8cde-95ab49fce1f9,Shelley,Brewer,nathanielfisher@example.net,60,very_high,gold,conservative,South Richard,IN,USA,2025-06-22T13:28:21,"education,technology,travel,entertainment",true,third_party_registration
fda874fb-4a31-456c-bc6d-f3ff1e619ba9,Julia,White,singletonjustin@example.net,69,very_high,gold,conservative,South John,AZ,USA,2025-06-22T13:45:04,"entertainment,travel,education",true,third_party_registration
dab89699-0750-4d2d-939e-0442f269c6ac,Roger,Smith,aaron22@example.net,60,very_high,platinum,conservative,Cooperside,SD,USA,2025-06-01T10:41:54,"groceries,travel,entertainment",true,third_party_registration
8c5e32c9-21b9-4a2a-b254-18018245897b,Jacob,Hernandez,leahperez@example.net,54,high,silver,conservative,South Nicholasfurt,OK,USA,2025-06-15T14:28:07,"education,technology",true,third_party_registration
6ab16411-ba1b-41c8-bd19-f8bd6afa355c,Edward,Hamilton,pwilliams@example.net,74,very_high,platinum,conservative,South Ian,NC,USA,2025-06-21T16:25:21,"travel,technology,education",false,third_party_registration
87b8a59e-edd9-4968-a24a-407410887d49,Michael,Thompson,allen71@example.org,70,high,silver,moderate,Solomonburgh,MD,USA,2025-06-14T14:10:47,"fashion,entertainment,education",true,third_party_registration
cfa5f037-d4ff-484c-a5e9-d61c49ce2654,Abigail,Valencia,collinsheather@example.net,63,high,silver,conservative,East Rachel,VI,USA,2025-06-27T15:49:56,"fashion,travel",false,third_party_registration
72eba390-96db-4e63-aa98-4e950adb614b,Edward,Bowers,barkersamantha@example.org,43,high,silver,conservative,West Sandraborough,PA,USA,2025-06-23T13:04:30,"fashion,entertainment",true,third_party_registration
8c6ffaf4-e075-4d97-8998-9ecb6abf1ccc,Madison,Ramirez,karen99@example.net,20,medium,bronze,aggressive,Brownburgh,WV,USA,2025-06-01T09:47:06,"groceries,technology,entertainment,travel",true,third_party_registration
381c51d3-c23f-4cfd-9d9e-7597c8da6499,Sydney,Taylor,matthew76@example.com,43,high,silver,conservative,West Susanton,FM,USA,2025-06-05T10:08:55,"travel,health",true,third_party_registration
290a4a69-a0ee-42c5-881a-cc79dba11e30,Neil,Scott,holly74@example.org,59,high,silver,moderate,Jenniferside,VT,USA,2025-06-19T13:20:39,"technology,groceries",true,third_party_registration
80ffb28d-a6e9-4791-a423-65b7a34a9b5d,Dana,Perkins,mmartin@example.org,66,very_high,platinum,conservative,Kimberlyshire,GA,USA,2025-06-09T15:29:36,"entertainment,fashion",true,third_party_registration
2cedb73a-f2ab-4974-84af-c5e78a3aab07,Elijah,Ellison,kevin63@example.com,74,very_high,gold,conservative,Cartermouth,IN,USA,2025-06-28T13:56:13,"fashion,education",false,third_party_registration
dd54cc6d-b0d9-478e-92ca-e74de491a69e,Tina,Nichols,shieldskatherine@example.net,75,high,silver,conservative,Melissamouth,MP,USA,2025-06-10T14:02:03,"education,travel,technology,health",true,third_party_registration
1663d48e-74c3-41be-8842-f2f8b0de6df8,Christopher,Boone,sierrawalters@example.com,74,very_high,platinum,conservative,Lake Karl,AL,USA,2025-06-12T10:13:18,"health,entertainment,groceries,travel",false,third_party_registration
d74c25e6-feb5-4e7f-81f6-19e9e71a2e8f,Christine,Gonzalez,megan21@example.net,56,high,gold,conservative,North Bailey,MO,USA,2025-06-15T10:08:23,"fashion,groceries,travel,education",false,third_party_registration
00e537c0-dd8e-42f8-bc0d-10c98328d771,Felicia,Pena,lwarren@example.org,37,medium,bronze,conservative,West Kenneth,MD,USA,2025-06-23T14:40:51,"entertainment,groceries,technology,travel",true,third_party_registration
0c685d35-608b-4f9f-8f5b-61f74974833b,Heather,Schwartz,waltonleslie@example.org,31,medium,bronze,conservative,Ramseyberg,MT,USA,2025-06-15T17:50:43,"technology,travel",true,third_party_registration
92878233-324f-4aa7-9c00-b48644d54cfa,Peter,Valdez,angela74@example.org,51,very_high,gold,conservative,New Andrew,SD,USA,2025-06-20T11:45:38,"travel,health,fashion,technology",false,third_party_registration
27ab407f-7201-4309-9206-ec9a8d621c4d,Brandy,Poole,scottlindsey@example.net,37,medium,silver,conservative,Maldonadotown,AR,USA,2025-06-13T09:32:54,"technology,health,education,entertainment",true,third_party_registration
c6efeea8-bbad-48a9-8918-38d8293b68cf,Lori,Becker,kimberly56@example.net,19,medium,silver,aggressive,South Jameschester,FM,USA,2025-06-02T16:08:30,"entertainment,travel,education",false,third_party_registration
28708adc-2999-4aba-8003-bf055109cd9f,David,Brown,meyerryan@example.org,27,low,bronze,aggressive,Lake Kevinfort,KS,USA,2025-06-16T14:51:48,"health,groceries,travel,education",true,third_party_registration
d0e214cb-dfa8-467c-ba78-cea1eea4f3a9,Lauren,Choi,xwhite@example.com,31,high,silver,moderate,Johnmouth,TX,USA,2025-06-25T09:44:25,"health,travel,technology",true,third_party_registration
b9c45d37-9bf5-427f-bb51-4c32fe935e22,Whitney,Gordon,emilyduncan@example.com,41,high,gold,moderate,Sherryside,OH,USA,2025-06-18T15:24:25,"groceries,education,health,entertainment",true,third_party_registration
96fe0248-9aa5-425e-aab2-ab9f56121920,Julie,Wright,howejames@example.org,68,high,silver,conservative,New Nathan,FM,USA,2025-06-20T11:14:22,"education,fashion,health",true,third_party_registration
342176e5-6e52-444d-a515-cd3802e2f22b,Ryan,Davis,whudson@example.com,74,high,gold,moderate,North Timothy,NY,USA,2025-06-18T15:37:57,"fashion,health,education",false,third_party_registration
32aeeb12-caef-4964-acfd-93bacd41244b,April,Jones,reyesgloria@example.org,51,high,silver,moderate,East Jacobside,OK,USA,2025-06-21T15:12:02,"health,education,groceries",true,third_party_registration
86765d30-67b3-4cb7-8728-f8a9d529ebdd,Lucas,Morrison,sanchezmelanie@example.net,44,medium,silver,moderate,New Mario,NV,USA,2025-06-07T17:37:07,"entertainment,health",true,third_party_registration
0a91fb30-c261-4ffb-b893-1aad63bfb307,Laura,Lopez,kenneth35@example.com,72,high,silver,moderate,Matthewburgh,DC,USA,2025-06-06T16:00:21,"entertainment,fashion",true,third_party_registration
cdc53705-d5af-4477-abcb-f046c1d30d3c,Pamela,Good,angelaphillips@example.com,63,high,silver,conservative,New James,MD,USA,2025-06-23T12:11:13,"entertainment,travel,education,technology",false,third_party_registration
39f012c0-53ba-47f7-8b7a-21be6dbd1df3,Eric,Anderson,ugarcia@example.org,63,high,gold,conservative,Jademouth,NV,USA,2025-06-08T15:27:40,"groceries,entertainment,technology",true,third_party_registration
2993d59b-6945-4830-8acc-b46ab3c79832,Christopher,Dickerson,ifuller@example.org,67,very_high,gold,conservative,Port Matthewburgh,OH,USA,2025-06-28T11:57:13,"education,fashion,entertainment,health",true,third_party_registration
e7eed7d1-b1f5-4756-9e0c-164f7af507be,David,Powers,garciasusan@example.org,71,high,silver,conservative,North Tyler,DE,USA,2025-06-05T12:08:42,"fashion,health,groceries,education",true,third_party_registration
282c27a9-af93-4e7c-8cca-bf64c70c9419,Michael,Gibson,ybennett@example.com,50,very_high,gold,conservative,Jenniferside,FM,USA,2025-06-09T11:59:14,"travel,health,groceries",true,third_party_registration
ba8f1e2d-1853-4242-9dac-3b09ea8d3999,Randall,Sosa,joanblack@example.net,66,high,gold,moderate,Brownchester,MO,USA,2025-06-07T10:29:06,"entertainment,travel",true,third_party_registration
5de26d18-fc63-44a0-8fe9-bcbefe13b96e,Dana,Carlson,joseph26@example.com,58,very_high,platinum,conservative,North Paulchester,PR,USA,2025-06-16T11:22:45,"technology,travel,health,education",true,third_party_registration
ab947bc1-c7b1-4ec8-ac61-6b91ae7cffab,Catherine,Mcdonald,jeffreylutz@example.org,20,medium,bronze,aggressive,Heatherview,PA,USA,2025-06-25T12:38:22,"fashion,entertainment,travel,health",true,third_party_registration
96c6dc42-0d7a-4ff7-ad6e-d74a293af370,Kristy,Compton,evanstrevor@example.org,41,medium,silver,conservative,New Benjaminton,VA,USA,2025-06-12T10:20:15,"fashion,education,groceries,travel",true,third_party_registration
d6a86695-9b6d-479a-8626-725eedf1d6f5,David,Farley,collinspaul@example.net,47,high,gold,moderate,Kimberlyton,ME,USA,2025-06-03T10:45:33,"entertainment,fashion,groceries",false,third_party_registration
846cd1f0-fc41-40d0-a601-c6e9533e9cf8,Brittany,Adams,martinchristian@example.org,39,high,gold,moderate,South Christine,NJ,USA,2025-06-18T10:26:15,"entertainment,groceries,travel,fashion",true,third_party_registration
d4e76e43-af24-4db6-9e0e-4d573529eaa4,Kristin,Johnson,claytonpriscilla@example.net,31,high,silver,moderate,New Deborah,UT,USA,2025-06-23T09:51:13,"fashion,health,travel,education",true,third_party_registration
11782a1c-6c35-4777-94fc-bb67f301e653,Michael,Henderson,michele38@example.com,30,medium,silver,conservative,Port Patrick,RI,USA,2025-06-03T13:31:54,"technology,education,groceries",false,third_party_registration
aecdd8d0-abf3-45e4-b5b6-7e9eb5258631,Pamela,Bryan,jocelyn86@example.com,23,low,bronze,aggressive,Port Martin,TN,USA,2025-06-06T15:39:02,"travel,entertainment,fashion",true,third_party_registration
